id,name,email,password,role,createdAt,updatedAt
4,Robert Hart,deborahhernandez@example.org,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
5,Kevin Wise,lguzman@example.com,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
6,David Lee,ashley72@example.net,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
7,Samuel Velazquez,xsalazar@example.net,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
8,Angela Henderson,wwarner@example.com,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
9,Maureen Castillo,saunderspatricia@example.com,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
10,Travis Johnson,ijoyce@example.net,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
11,Tracey Hill,freemantina@example.com,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
12,Veronica Davis,marvinacevedo@example.net,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
13,Craig Dunn,wtaylor@example.com,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
14,John Williams,barajasnichole@example.net,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
15,Jordan Robbins,jessicashaw@example.com,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
16,Daniel Velasquez,gonzalezcrystal@example.net,$2b$10$e2kWX54o1Om1.S8PIXj4Be6mRtz7mFQheATL7RRJbSgoqigLVDhxq,EMPLOYEE,10/4/24 9:09 AM,10/4/24 9:09 AM
