id,name,email,password,role,createdAt,updatedAt
1,Kristin Lane,jblanchard@yahoo.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2024-07-10 23:14:27,2024-09-28 01:26:59
2,Amy Blankenship,deborahbanks@yahoo.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2020-03-01 17:03:13,2020-11-21 05:00:21
3,Mr. Tyler Fox,erikparker@white.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2023-02-19 15:38:11,2022-02-20 17:57:25
4,Ann Carroll,victor85@yahoo.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2024-07-07 07:25:45,2020-08-31 02:04:13
5,Jennifer Morales,hfernandez@hotmail.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2024-04-05 02:05:42,2023-07-29 14:21:21
6,Cassandra Castillo,umorgan@yahoo.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2021-07-26 16:50:35,2020-11-21 03:01:13
7,Michelle Dyer,steven80@gmail.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2020-02-10 11:29:16,2023-03-06 08:09:15
8,Jaime Grant,malonepaige@jackson-montoya.info,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2024-04-05 02:57:42,2020-03-09 17:37:31
9,Terrance Robinson,christina16@edwards.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2020-06-14 18:23:39,2024-07-21 10:00:16
10,Brenda Carson,joshuaclark@ortega.info,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2022-02-07 02:48:44,2024-08-19 19:00:07
11,Sean Cole,pattersondaniel@pope-hernandez.biz,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2022-10-21 01:51:20,2020-01-10 16:39:05
12,Rebecca Barrett,qhernandez@anderson.net,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2021-01-26 14:47:55,2024-01-31 05:36:06
13,Ryan Moore,dbrown@miller.biz,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2023-01-31 10:37:14,2022-04-29 05:27:40
14,Lori Freeman,samuel75@cook-thompson.info,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,EMPLOYEE,2023-05-03 17:18:34,2023-01-21 01:55:32
15,Justin Brown,reneebell@gmail.com,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2022-10-27 19:31:13,2024-07-14 21:22:02
16,Brandon Lam,jeffrey61@martinez.org,$2b$10$/JaLD1Q7AWvAvbtUU66Jr.46UpFTeX9pxgwsgyZzYpa1yEV/rHPbO,ADMIN,2023-10-02 03:14:51,2022-05-24 22:37:40
