id_assignment,userId,courseId,learningPathId,assignedAt,id_user,name,email,role,createdAt,updatedAt
4645,5,-1,11,2024-10-08 12:25:29.567,5,Kevin Wise,lguzman@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
4646,9,16,-1,2024-10-08 12:25:37.852,9,Maureen Castillo,saunderspatricia@example.com,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
1,2,637,-1,2020-05-24 11:03:07.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
2,2,1850,-1,2022-11-27 22:07:26.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
3,2,1754,-1,2023-12-03 22:01:12.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
4,2,3214,-1,2022-08-18 20:01:41.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
5,2,3035,-1,2020-07-08 10:32:48.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
6,2,1961,-1,2020-06-08 17:24:54.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
7,2,709,-1,2023-01-06 20:05:11.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
8,2,1785,-1,2020-11-15 10:41:51.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
9,2,1586,-1,2023-05-06 10:07:34.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
10,2,2290,-1,2024-07-28 11:57:13.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
11,2,2616,-1,2024-04-04 11:11:31.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
12,2,2334,-1,2020-08-26 06:35:29.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
13,2,599,-1,2021-02-08 08:34:46.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
14,2,3326,-1,2022-11-20 17:14:07.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
15,2,2043,-1,2023-08-19 16:27:39.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
16,2,3131,-1,2024-04-14 15:37:40.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
17,2,1148,-1,2023-04-03 13:53:46.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
18,2,2945,-1,2022-06-15 20:03:38.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
19,2,2720,-1,2022-08-23 13:39:32.000,2,John Doe,john.doe@example.com,EMPLOYEE,2024-10-04 09:09:07.202,2024-10-04 09:09:07.202
20,4,1168,-1,2024-04-20 06:44:16.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
21,4,1742,-1,2021-03-13 08:20:07.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
22,4,3619,-1,2020-09-09 17:52:28.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
23,4,2749,-1,2022-03-18 03:13:35.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
24,4,2037,-1,2020-06-16 14:19:31.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
25,4,2368,-1,2021-09-02 01:10:47.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
26,4,1559,-1,2022-07-28 11:47:06.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
27,4,2059,-1,2024-02-24 08:38:20.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
28,4,1582,-1,2021-09-08 23:04:42.000,4,Robert Hart,deborahhernandez@example.org,EMPLOYEE,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
